,Customer Reviews,Compound Score,Positive Score,Neutral Score,Negative Score
20,"The food is great. The owner is rude and it's VERY clear that he's cheap. Which is why I'm giving two stars. I ate here a few times and the last time I went, the owner made a big deal over the tiniest CUBE of baklava that I asked for since you get one for free when you check in. He snarked ""you have to eat here! That's the whole point."" Um ok? It was disgusting anyway. I decided not to come back. I will not support businesses that have terrible service. Especially when your food is pricey. I've read so many similar reviews like mine, so none of this comes as a shock. & of course the owner angrily responds over what ? The free baklava ÌâåÊof course that would be the only thing he got from this review. You have TERRIBLE customer service and need to humble yourself. People are spending a lot of money on your food. How petty is it to get upset over a cube of baklava. How about a ""hey thank you for ordering from us, here you go."" How about a ""we have some tables open if you would like to stay and dine in."" I wasn't exploiting any offer. Because I STAYED and ate at the tables outside. But you were so quick to jump down my throat because I ordered online. I planned on eating there. WORK ON YOUR CUSTOMER SERVICE SKILLS! They're lacking immensely!",0.5356,0.084,0.845,0.07
21,Now that this location was shut down for a Rodent infestation I will no longer be coming to this location. I don't understand how a restaurant could allow themselves to get that disgusting. Don't you disinfect and sanitize the entire kitchen? Obviously not if the city has to come shut the establishment down because of such unhealthy working environment. Unfortunately the owner of the company the more mature lady was always rude and angry when approached. I try to make an order and she gave me a look of disgust. Make she wonder if you really value this restaurant or not. If I was a restaurant business owner I would take customer service 100% to the next level. Without customers there's no business.,-0.9443,0.057,0.766,0.177
22,"Found Kebab Place on Yelp while in Anaheim.....everyone working was very nice and inviting. ÌâåÊThe gentleman taking the order recommended the sampler plate, not disappointed one bit. ÌâåÊEverything is cooked to order and everything was cooked and seasoned perfectly. ÌâåÊWill make a return visit on my next trip to Anaheim. ÌâåÊNice find in a city with lots of choices.",0.9218,0.215,0.785,0.0
23,I honestly don't have the words to articulate how much I love this place... I am not very picky when it comes to what I eat but I am VERY picky when it comes to the quality of what I eat. The meat here is the absolute most tender meat I've ever had at a Mediterranean restaurant. And it's flavored perfectly!.... I cannot wait to come back. Thank you guys!!!,0.8409,0.133,0.867,0.0
24,"""Casual atmosphere, good service, and a great amount of food for the price."" I liked the bread basket they serve as appetizer.""The gyro kebab was good. I like that you can have salad as well as rice. Or you may have only rice, or only salad. I really like the salad. I can't wait too try the The stoner fries, I hear their delicious! The owner was very humble and polite. The food was very flavorful. * Parking sucks, but if you find one nearby your golden and don't forget to feed the reader or you'll need up getting a ticket.* You can even Order now, no min order amount.Get delivery from Kebab Place with Grub.",0.8677,0.162,0.799,0.039
25,"This place is truly a hidden gem, the food was superb with flavor I've never had in a middle eastern dishes, the juiciness of the meats were delicious and the spices were top notch.A++ service felt like a king, I love this place a lot it's in my fav kebob place",0.969,0.363,0.637,0.0
26,"AMAZING!First of all, ÌâåÊthe owner is such a great guy. Super friendly and humble.The service is wonderful.The food is so damn delicious!!So fresh and huge portions. This is the Best!I had this for lunch at work and had it tonight (next day) for dinner with friends. They all LOVED it!I recommend 1000%",0.9749,0.376,0.576,0.048
27,"The food is fresh and made to order. I do recommend the kebabs, from this nice local family owned restaurant.",0.7935,0.335,0.665,0.0
28,"Excellent Keto dinner. My wife picked up two Sultan plates for my birthday. They pack them with chicken kabob, beef kabob, and lamb kabob. Fresh ingredients and lots of flavor. They also threw in grilled jalapeÌÄå±os and grilled tomatoes. Good stuff.",0.836,0.19,0.81,0.0
29,Good food .. easy to find location Great service with a smile ÌâåÊI'd recommend this place to everyone,0.9313,0.554,0.446,0.0
30,The food here is so filling. Nice balance of meats and veggies/rice. I literally cleaned my plate. Want a refreshing meal then this is the spot to hit up.,0.5233,0.149,0.851,0.0
31,This place is just full of flavor. Love that they are extremely generous with their portions as well as their dipping sauces. I've dined in and enjoyed the ambiance of their restaurant and I have also ordered from their online menu which has been designed well to allow you to customize your orders easily.I recommend the gyro (sandwich or plate). Waffle fries were crispy and a great choice as well.,0.9747,0.305,0.695,0.0
32,"This place is pretty good, seems to be just starting up. The chicken is my favorite! It's so juicy and flavorful! But so are the other meats! I just favor the chicken a little more has a very chill ambiance and the service is great! Just like every place like this! You can also order take out online if you don't want to come in and eat here.",0.9705,0.282,0.702,0.016
33,"Stopped by at 11:45am. Place was closed??? Drove to give them a try and paid for parking since there's no street parking. Business was open, they just wouldn't serve me. Bad customer experience. Update your hours!!",-0.3343,0.071,0.799,0.13
34,Thank you yelpers! Was looking for a Keto friendly restaurant to take my friend to and this place came up as one of the top rated locations near my home. So delicious! Will definitely be coming back.Warning! Read the metered parking signs outside carefully and don't get a ticket like I did.,0.9563,0.325,0.642,0.033
35,"Agree with Daniel Z.'s review revealing that they are *very* deceitful. It just gives me a bad feeling about the ownership and I prefer to support businesses that are ethical, honest, and customer-oriented rather than ones that engage in tactics to be sneaky about nickel-and-diming or price gouging customers. Makes me wonder what shortcuts they are taking with food/ingredients to penny pinch. I ordered a gyro wrap, and it came complete with surprise extra charges for offered sauces and fries which were pictured on the menu *with* the wrap and the listed price for a wrap; and, when I ordered, he simply said, ""fries ok for the wrap?"" instead of asking me, ""Do you want to add fries for $4"" or whatever. He also offered me the choice of a sauce from a list of I believe 3, never letting me know that it'd be another couple of extra dollars if I made a selection lol. Ended up doubling what I thought I was paying for a quick lunch, and I didn't really enjoy the meal itself. Beware guys--I won't be back.",0.834,0.127,0.803,0.07
36,"I was downtown waiting for a business meeting. ÌâåÊLunch time hit and we looked around. ÌâåÊSaw this place and decided to go in. ÌâåÊI personally love places like this. ÌâåÊLittle shops that just give you good food.Walked up to the counter and grabbed a menu. ÌâåÊI had the chicken kebab platter. ÌâåÊThe guy behind the counter who looked kind of like one of the bad guys from the Christopher Reeves Superman movie was super friendly. ÌâåÊDefinitely not the bad guy. ÌâåÊHe asked if I wanted half rice and half salad, which sounded perfect. ÌâåÊGrabbed a drink from the cooler, paid and we sat to wait for our food. ÌâåÊAnother guy brought over a little something to chew on, which was good. ÌâåÊIt didn't take long for the food to come by. ÌâåÊIt was great. ÌâåÊSo good. ÌâåÊThe chicken had a little spice, but was perfect with the yogurt sauce they gave.I live nowhere near here, but if I was in the area, I would be there often. ÌâåÊThe food was great, the people there were awesome, and the price was right. ÌâåÊCannot recommend this enough.",0.9877,0.2,0.779,0.022
37,"Tried juicy chicken kebab here, it was on point. Great location and great service. My whole family loves their food. The salsa and sauce was traditional as well. I will definitely be going back here. Thanks guys.",0.9618,0.395,0.605,0.0
38,"This place is fantastic! ÌâåÊFirst, it's a ton of food. ÌâåÊCome ready to share or take some home or over eat because it's so good you don't want to stop!!The waffle fries are a little bit spicy and a whole lot amazing! Chicken wrap was flavorful and great. ÌâåÊSeriously one of the best lunches I've had!",0.9778,0.354,0.629,0.017
39,"Food was delicious. I got a sampler platter, pictured here. My only complaints, and my only reasons for not giving five stars, are as follows. One, this is not a bargain place, as the humble promises may suggest. Even if you assume that this platter will serve two people, you were still talking $10 per person for a walk up /counter service restaurant. Two, as many others have pointed out, you really must order ahead if you want to avoid waiting 20 to 25 minutes at lunchtime. I ordered online 15 minutes before getting to the store, and I still had to wait 10 more minutes after getting there. Not really a negative if you are aware of the issue, but I could see newcomers being put off by it.Three, the amount of pita bread given out as part of the $20 platter is ridiculously small. It's essentially one small circle of pita bread cut into quarters. Sure, they offer additional pita bread, but it is four dollars per order. Nickel and diming. But to reiterate: the food is awesome, fresh, hot and delicious.",-0.2039,0.115,0.761,0.124
40,This is the best middle eastern food I've ever had and I've traveled all across the country. You can taste the freshness and highest of quality in every bite. This will be my new favorite place in the area and a must for anyone to try.,0.802,0.143,0.857,0.0
41,"Try to find a good restaurant when you are far from your home and very hungry, is the most desperate thing I swear. ÌâåÊBut when I found this place and ordered our food, I was delighted, I liked the taste and attention of the owner, the salad on my plate was simply the best .. I recommend it with my five stars!!!",0.9263,0.238,0.704,0.058
42,"FOODIE OVERLOAD!!! This place is an absolute must try and must come back for more. Best Mediterranean restaurant in OC. The flavors of the meat, the sauces are out of control. Everything is made fresh daily, and I do mean everything. The service is excellent, they are all very friendly and make you feel at home. We're coming back",0.9123,0.209,0.745,0.045
43,"I frequent the area for business, particularly 4th St. I will often grab a bite to eat for lunch. I have eaten at many of the local restaurants & I decided to give Kebab Place a try.- For starters they served pita bread with a cilantro spread - the spread was fresh & healthy.- Greek salad with gyro meat - low carb with plenty of protein - great taste, definitely order this again! Glad I stopped in, will be back for more!",0.7418,0.155,0.755,0.09
44,"Beef undercooked is fine, but lamb undercooked is unacceptable. The four dishes we got were not reflective of the price tag.",-0.5574,0.057,0.779,0.164
45,"I thought the food here was decent. ÌâåÊSadly, the experience I had here was truly a disappointment and deterred from any of the positives I experienced.I visited this establishment during lunch time to grab a quick bite. ÌâåÊIn the area that it's located, it was a super quiet street. ÌâåÊEverything is street parking with it being metered pay during the day. ÌâåÊIt was very quiet for a lunch time with not too many people dining in.My biggest complaint was the service I received. ÌâåÊFor the place not being so busy, it took forever for someone to take my order and then even longer for my food to come out. ÌâåÊThe lady serving me was not very attentive and was very rude about everything. ÌâåÊShe kind of threw my food on the table when she finally got it to me. ÌâåÊAnd when taking a peak back into the kitchen, everything done did not seem too sanitary. ÌâåÊThe lady at the cash register was serving food in between taking orders and handing bills without washing her hands in between which I'm sure you're not suppose to do.On a positive note, they offer complimentary pita bread and a green herby dipping sauce which came out warm and delicious. ÌâåÊThe gyro meat was decent, a little on the salty side. ÌâåÊIt was a good portion sizing for one person.",0.9314,0.115,0.828,0.057
46,"Mediterranean cravings brought me to this place. There are pictures on the walls with some of their items. We ordered the sultan's plate for dinner. It came with 3 proteins: gyro meat (lamb and beef), beef, chicken, and rice (which you can order just 1/2 and the other 1/2 you can make into a salad). Let me just start by saying that I'm a fan of zankou chicken and their garlic sauce. Well, this place beats zankou because 1) it's not crazy crowded 2) chicken is moister and 3) they have a great garlic sauce that's just as good as zankou's if not better. I loved the gyro meat. I've never had anything like it (although I've had my fair share of Mediterranean foods). It is so deliciously seasoned and so very tender. You have got to try this place. There are not many places that make me drive to Santa Ana, but I'm telling you, this one is worth it.",0.8342,0.103,0.865,0.032
47,"Outstanding! Fresh, hot, flavorful, moist! What else can you ask for with grilled meats. Hummus and babaganoush taste great too. This place does an awesome job and we drive specifically to this place from Irvine for Kebabs. We have eaten in the restaurant and also have catered from them. Their catering is the highest standard in Mediterranean food! I would def recommend hiring them for your next event.",0.9576,0.224,0.776,0.0
48,"I have been coming here for about 4 months, never really peeked inside, but one day I was craving some chicken kebabs, so I walked in. The place is super clean! The atmosphere is awesome the guys and gals working here really pay attention to detail. And the tables are well set. Ok..... now onto the food!The salmon kabob is a five star all the way! You can taste the freshness of the salmon in every single bite, not frozen for sure I know my salmon pretty well, it has such a delicious and delicate taste, the spices on it really compliments the entire dish. Now onto the chicken, it's always super moist and delicious, definitely recommend the chicken kebab plate along with the basmati rice and their delicious salad. Last but not least the PITA bread!!!! Oh my goodness it's so soft, and fluffy and the green dip.....!!!!! Makes you literally want to feed off of it and bathe in it lol!!!! This place beats the Panini Grill at the Mainplace mall by a country mile! Literally! You can NOT compare the two this place knocks it our of the park every single time! The portions are generous and always so delicious.",0.9976,0.302,0.68,0.018
49,"My first time having lunch at Kebab Place and I am definitely a customer for life! I absolutely love Mediterranean food and have never had something as ÌâåÊdelicious as this place. I can tell they use quality ingredients and prepare the most flavorful food. My mind was blown with the amazingly delicious green dipping sauce they provide. ÌâåÊI had the opportunity to meet the owner Rok and chef Freddie, great conversation. I'm so proud to hear people be passionate about what they do. I look forward to seeing this business continue to thrive. The best is yet to come!I can't wait to come back and bring all my PAYCHEX colleagues from our Costa Mesa office.",0.9852,0.229,0.771,0.0
50,"I just wanted to leave a quick review. I don't eat Mediterranean Food that often but I have to admit, I definitely will now. This place has the best Mediterranean Food in Orange County hands down. The owner is very hands on and explains the ingredients in each dish that is served. I had the Sultan Platter, and it was cooked extremely well. The spices were amazing and the chicken was cooked to perfection. Very well done, you have won my business for life!!!Jean-Pierre",0.9889,0.326,0.663,0.011
51,"First time here and ordered the Mediterranean sample platter. It was the perfect amount for two averagely hungry people. The green sauce and garlic sauce that comes with the pita is addicting. The manager, Rok, was really hospitable and you could definitely tell he was passionate about his food. Would recommend.",0.836,0.199,0.746,0.055
52,Went to eat here to try Mediterranean food for the first time. It was amazing! Silvia was our waitress she was super polite and energetic! She knew we hadnt tried Mediterranean food before so she made some suggestions. We ended up getting the sultan platter to try 3 types of meat. As she suggested and it was amazing the chicken and salmon were mu favorite! Thanks silvia!,0.9701,0.264,0.736,0.0
53,This restaurant is the best Mediterranean restaurant in Santa Ana.The sevice is very professional and the food delivery is awesome.Very clean and courteous.,0.8807,0.338,0.662,0.0
54,"Just moved my best friend to this area and we were looking for a place to have a nice meal after all that moving. I've been keto since the first of this month and needed to find a place that was keto friendly. We did some digging on Yelp and saw that Kebab Place had a Keto Plate so we decided to check it out. My friend ordered the humus and I watched in envy as she loaded humus on delicious slices of fresh pita bread. I snuck a taste of the humus so I can vouch for how delicious it was! I went back in to order another round of sparkling waters and (the owner?) asks me if I was the one on keto which I said yes I was. I said my friend got the humus and I was envious he told me not to worry, he would be fixing me up in just a moment. And holy crap he was right! They brought my salad out first and it was a huge plate of a fresh Greek salad with delicious feta cheese, olives, cucumber, tomatoes and greens. But next he brought out the masterpiece! The Keto Plate had arrived! It had succulent filet mignon, juicy chicken and the most flavorful beef kabab I have ever tasted! He told me the meats were prepared with grass fed butter and organic ingredients. Two amazing sauces came with my feast; a savory garlic sauce and fresh and cool tzatziki! They were both incredible but I preferred the garlic and my friend preferred the tzatziki. We ate our fill and were absolutely stuffed! I of course packed up the left overs which, lucky me, were plenty enough for my lunch today! To top it all off this gem is dog friendly. My friend brought her beagle puppy too and they hooked us up with a big treat for her complete with rice and meat! Sally the beagle gave four paws up! All in all, if you decide to give this place a try you won't regret one bite.",0.9963,0.199,0.782,0.019
55,My friend just took me to this place and we had the sultan platter and was one of the most delicious food I ever had. I would recommend everyone to try this platter :) thanks you kabob place will come back again,0.9392,0.308,0.692,0.0
56,"This was my first time trying this place out and it did NOT disappoint. I ordered the chicken kabob plate and they gave me the option of all rice, or half rice half salad. I chose the half salad and half rice. Our plate was also served with cut up pita bread served with some green cilantro sauce that was divine. The chicken kabob was moist and delicious with the right seasoning. The rice was simple, yet tasty. And the salad was served with some sort of balsamic dressing and it was good. I have to say I left this place feeling stuffed, yet satisfied. Not to mention the quality in the taste of the food was exceptional.",0.8822,0.131,0.826,0.043
57,"We were looking to have dinner one night and stumbled across their Yelp page and decided to try it out. We weren't too sure on what to expect once we pulled up since it was a small store and everything around it was closed already, but the owner (I think) was really nice and helped us order up front. He also took time to review the items when he dropped it off and chatted with us for a bit. Their house made cilantro dip is to die for! We ordered the Sultan platter which had 3 skewers and we opted for half rice and half salad and also got their waffle fries. In hindsight we could've went without the fries, but everything was SO GOOD! My husband could not stop talking about how good it all was. We are so happy to have found this gem and will definitely be back again!",0.9785,0.165,0.796,0.039
58,We ordered catering and it was fantastic! Chicken was tender and Gyros was yummy. As close to my mother's cooking as I can find. We ordered catering from other Kebab places but my family liked this Kebab the best. We actually did a side by side comparison with our usual catering place and my sons and husband still liked this place way better. Thanks Rok for help with the order.,0.9838,0.328,0.672,0.0
59,"I Love it. . . I got the Combo kebab with a chicken & ground beef, so Yummy!!. My Girlfriend got the Organic Chicken she Loved it. . & shes Kinda Picky with Food.. the Pita Bread & Special cilantro sauce was Awesome. The Owner was Super Nice & polite, & so Welcoming tooPlanning to go back Soon with friends for Our Gender Reveal gathering",0.9778,0.37,0.585,0.044
60,Presentation was good and they have fast service. Their Kufta is really bad ! It tastes like charcoal Chicken is alright - garlic tastes nothing like garlic sauce. Gyro was little salty. Rice was good Salad was good Fries was good It is a bit expensive yet they give a lot of food.,0.9201,0.297,0.644,0.06
61,"Great ambiance! The owner is invested in his business and the community, and has been steadily upgrading the restaurant. The food is delicious - freshly made and consistent.I tend to go for the salads, and they are excellent. My current favorite is the falafel salad. I highly recommend Kebab Place for lunch or dinner if you are in the downtown Santa Ana area.",0.9558,0.239,0.761,0.0
62,Very good food and excellent service Marco attended me and very good service I will definitely return to this place,0.915,0.46,0.54,0.0
63,"Visited on Friday evening with some friends, and had a great experience! Ordered the organic chicken kebab Platter with Rice and it was delicious. I strongly recommend this place. This restaurant serves the best Mediterranean food in the area, it's always fresh and the service is great! The owner is super attentive and checks on your dining experience and explains the menu. Overall, the food is great and the service and ambiance is wonderful! You have to go try their food if you're in the area.",0.9903,0.346,0.654,0.0
64,"First of all I don't even know how this place got bad reviews. I would come here again based off on the customer service alone. Rok runs the restaurant and has a fantastically friendly attitude. ÌâåÊMy hunch is that he was probably the man who taught chick-fil-a there customer service skills! Lol Aside from the amazing customer service, the food was great. I eat Mediterranean food a few times a week and always make it a point to try new spots and I am very glad I came. Looks like this will be added to the rotationI ordered the combo kebab, chicken and steak with half rice and salad. It also came with complimentary warm pita and a tasty dipping sauce. The meats were well seasoned and grilled to perfection. Everything was tender, fresh, and aromatic. You could tell they put a lot of TLC into there food. Overall no complaints here! Now What are you waiting for go try it! Thank you Rok!",0.97,0.195,0.731,0.074
65,Ordered from home delivered in a timely manner !!! Food was absolutely delicious!!! Thank you will order again !!!,0.8376,0.332,0.668,0.0
66,"My husband found this place on Yelp and the pics of the food looked amazing. It did not disappoint! Excellent food! Excellent service! Even my picky daughter devoured the chicken, rice and pita!",-0.6711,0.136,0.627,0.237
67,I was so excited to try this place after reading some reviews- I love Mediterranean Food!!! I am a bit disappointed- maybe I got a bad batch of steak? It was really dry and I couldn't chew it. I live close to DTSA and this is the closest to me. Thinking about giving it another try.,0.5528,0.17,0.719,0.11
68,Love their food!!! Would eat it everyday if I could(; The owners are very sweet and professional. Portions are generous as well. Highly recommend trying this place out!,0.9506,0.434,0.566,0.0
69,"The sultan platter is a must!! It's got a mix of kebab meats, grilled veggies, rice and salad. I had lamb, koobideh (ground beef) and the chicken kebab and man was I pleasantly surprised. The seasoning from the meat to the salad and the sauces were really on point. I usually don't care for rice but this was buttery infused with saffron. Yum! Staff are super friendly, they're truly here because they want to be. I highly recommend stopping by if your in the downtown Santa Ana neighborhood. I can't wait to come back for more. Thanks guys!",0.9763,0.245,0.719,0.037
